observation_year,adaptive_capacity_index,foreign_direct_investment_net_inflows_pct_gdp,forest_area_pct_land_area,renewable_energy_consumption_pct_final_energy_use,natural_capital_dependency_index,urban_population_pct_total_population,readiness_index,ecological_footprint_index,co2_emissions_metric_tonnes_per_capita,greenhouse_gas_emissions_metric_tonnes_per_capita,average_temperature_celsius,annual_precipitation_mm,land_area_sq_km,log_real_gdp_constant_2015_usd,log_total_population,log_total_greenhouse_gas_emissions_kt_co2e,log_official_development_assistance_usd,country_name_encoded,country_name
2006,0.54562276426871,3.585019770585845,12.564100380909702,18.1436004638672,0.0871715358,55.746,0.355486500957963,1.59523382294406,1.4994470484671991,2.2210904320442904,18.27,328.5,446300.0,24.973056054505488,17.24317750907876,11.13343507403426,21.461133021102615,84,Morocco
2007,0.553373980328425,3.575094994241912,12.601749943983869,16.4633007049561,0.0871715358,56.317,0.358905683371876,1.46903734620496,1.531591112343315,2.235295136933487,17.92,255.02,446300.0,25.007762692143594,17.25476358332415,11.151395899257666,21.51588270949224,84,Morocco
2008,0.538742546669063,2.666048498748582,12.639399507058032,14.6162996292114,0.0871715358,56.886,0.363100878131756,1.63720606045702,1.5911566443616183,2.30302325787135,17.89,350.56,446300.0,25.06530754278511,17.266665929558336,11.193147106920685,21.61661541734144,84,Morocco
2009,0.519081371333573,2.1209695952934737,12.6770490701322,14.2559003829956,0.0871715358,57.452,0.371352436905105,1.78640194879844,1.5828827175672138,2.29289362392354,18.42,358.69,446300.0,25.10686933386787,17.279028001802622,11.201100961883556,21.434203801509604,84,Morocco
2010,0.506540975508456,1.330904481807171,12.714698633206362,13.9195995330811,0.0810998834,58.018,0.372705356825734,1.68722233576301,1.6590719140582195,2.381321632887888,18.69,457.2,446300.0,25.144316532164517,17.291920075776186,11.251833390925226,21.404056997545084,84,Morocco
2011,0.503581594619866,2.487274621321615,12.719233699305402,11.8753995895386,0.0810998834,58.581,0.362800701869685,1.78623198088719,1.7628651943483378,2.506569181858504,18.28,364.13,446300.0,25.195443937116877,17.305385902090674,11.31655772074287,21.61123116343872,84,Morocco
2012,0.500052675711576,2.892094421039552,12.723768765404436,10.9333000183105,0.0810998834,59.142,0.372640205336563,1.66853515761111,1.809463466857398,2.540167832775373,18.19,316.78,446300.0,25.22509944596554,17.319321656283567,11.343808344620697,21.62386612269461,84,Morocco
2013,0.49882709580037,3.146163799038823,12.728303831503474,11.5936002731323,0.0810998834,59.7,0.379613408493677,1.70175039683873,1.771281365761149,2.528791849377019,18.03,260.82,446300.0,25.26945526149871,17.333474340165893,11.353472419079882,21.821408024752913,84,Morocco
2014,0.501397753769631,3.2025296384969613,12.73283889760251,11.1396999359131,0.0810998834,60.256,0.408302962928237,1.77950804462305,1.7887037799498942,2.545890517407428,18.4,293.07,446300.0,25.29580010768609,17.347512756018002,11.374249432781127,21.895775808711598,84,Morocco
2015,0.496273864946674,3.214983270082609,12.737373963701543,11.211799621582,0.075028231,60.809,0.413940547913665,1.78012699767764,1.8217953537900613,2.5903247001870087,18.51,221.12,446300.0,25.340165048964757,17.36120096262444,11.40524002655051,21.642839188619305,84,Morocco
2016,0.502323225313293,2.0843379431156714,12.771207707819856,11.0204000473022,0.075028231,61.36,0.413057472305273,1.64825604629555,1.7958067513793237,2.5240365659050545,18.67,274.46,446300.0,25.350707841803114,17.37445998389178,11.392575387278974,21.839144881165268,84,Morocco
2017,0.498296489185604,2.4435113025704736,12.79764732242886,10.4181003570557,0.075028231,61.908,0.414206675785797,1.68997845108111,1.8529418451967563,2.616265074614986,18.87,211.76,446300.0,25.39237367161692,17.387329596519024,11.441332788345242,21.95220143398083,84,Morocco
2018,0.498632172946287,3.0012704955175145,12.820053775487342,10.8323001861572,0.075028231,62.453,0.417842386991358,1.75355419346778,1.8507267835720187,2.6170520159418964,17.6,411.71,446300.0,25.423373208859285,17.399837225674815,11.454141023982018,21.31556453875438,84,Morocco
