country_name,country_identifier,observation_year,adaptive_capacity_index,foreign_direct_investment_net_inflows_pct_gdp,forest_area_pct_land_area,real_gdp_constant_2015_usd,renewable_energy_consumption_pct_final_energy_use,natural_capital_dependency_index,urban_population_pct_total_population,readiness_index,official_development_assistance_usd,ecological_footprint_index,co2_emissions_metric_tonnes_per_capita,total_greenhouse_gas_emissions_kt_co2e,average_temperature_celsius,annual_precipitation_mm,land_area_sq_km,surface_area_sq_km,total_population,greenhouse_gas_emissions_metric_tonnes_per_capita
Colombia,28,2020,0.5211464847839408,2.7478231041159855,53.30501126633619,299826459539.86224,30.45000338148962,0.11158695075000001,81.425,0.3806422137526622,932572893.7784833,1.827414559415013,1.6002834680999822,188093.7996219282,25.13,2544.11,1109500,1141750,50882884,3.6966025672194247
Cote d'Ivoire,29,1995,0.715690465370126,1.9250728512064343,20.35426100628931,24468419356.03034,74.8826030239666,0.176229731,41.21,0.309048239718124,1212439941.40625,1.15885156900786,0.22958136120479228,31860,26.6,1399.34,318000,322460,14199759,2.2437000515290437
Cote d'Ivoire,29,1996,0.714574610298864,1.4896366398731935,19.487465408805033,26359663602.99281,74.0417289026024,0.2041526898,41.587,0.308285017236528,964770019.53125,1.03879438666129,0.2645732648034026,31580,26.59,1393.76,318000,322460,14665125,2.1534081707452204
Cote d'Ivoire,29,1997,0.712877636062869,2.302018342123926,18.620669811320756,28903065381.484844,72.1351437379043,0.2320756486,41.964,0.304497695636302,447000000,1.11318148450781,0.31657545460301373,32220,26.61,1190.14,318000,322460,15130674,2.1294490912962636
Cote d'Ivoire,29,1998,0.712573897554329,3.874171938156196,17.75387421383648,30135464902.93292,73.4473042431981,0.2599986074,42.342,0.300100576047875,967270019.53125,1.21926130218118,0.30982576822838737,31810,27.17,1228.2,318000,322460,15589407,2.0404881340258805
Cote d'Ivoire,29,1999,0.711491902005367,1.2471456747831902,16.887078616352202,30487103583.769753,61.9308464416233,0.2879215662,42.741,0.285653158972416,447779998.779297,1.14846528488634,0.41727550531034535,33080,26.51,1411.55,318000,322460,16032573,2.063299509068195
Cote d'Ivoire,29,2000,0.713200636378862,1.4157819892059698,16.020283018867925,30406072074.58649,63.717601776123,0.315844525,43.155,0.271386192201731,350920013.42773396,1.13845972445981,0.38469345462015014,32420,26.52,1316.6,318000,322460,16454660,1.9702625274542287
Cote d'Ivoire,29,2001,0.713965567679681,1.6220772732337925,15.665292452830187,29751121484.186638,64.727897644043,0.3013930994,43.568,0.2655839333906,186080001.831055,1.06826782145479,0.3714466249890895,31480,26.58,1444.45,318000,322460,16853027,1.867913698826923
Cote d'Ivoire,29,2002,0.713198163155186,1.1774448645147753,15.310301886792455,28938759235.7763,65.3227996826172,0.2869416738,43.983,0.259787630382012,1067500000,1.09651007945961,0.3702513164958742,30860,26.84,1353.65,318000,322460,17231539,1.790902135903241
Cote d'Ivoire,29,2003,0.715325836396687,0.7782442857625685,14.955311320754717,27571152082.82212,70.3217010498047,0.2724902482,44.399,0.249561965238808,253699996.94824198,1.0682882153304,0.29262007067996326,28080,26.8,1462.29,318000,322460,17599613,1.5954896280957995
Cote d'Ivoire,29,2004,0.715683737473387,1.2036277531504986,14.60032075471698,28449303816.65824,75.4001007080078,0.2724902482,44.817,0.237271101431771,160710006.71386698,1.03442237610823,0.30160552634810855,25700,26.8,1352.44,318000,322460,17970493,1.430122145229961
Cote d'Ivoire,29,2005,0.711830033792038,1.4521811857285731,14.245330188679246,28732677534.705772,77.9194030761719,0.2724902482,45.234,0.218906790386997,91279998.7792969,1.05162303187631,0.31654340270428316,26210,26.98,1313.3,318000,322460,18354513,1.427986675538599
Cote d'Ivoire,29,2006,0.718299793806457,1.388231734168361,13.890339622641509,29541668653.317932,74.7872009277344,0.2724902482,45.652,0.180943298379532,247139999.38964802,1.10915711938248,0.3001879933973571,24390,26.75,1425.2,318000,322460,18754914,1.3004591756592432
Cote d'Ivoire,29,2007,0.738440846678861,1.5431165897876378,13.535349056603774,29867049384.831024,76.3303985595703,0.2724902482,46.071,0.198973169361498,171080001.831055,1.06698970807329,0.28949599008932647,23190,26.87,1300.04,318000,322460,19171250,1.209623785616483
Cote d'Ivoire,29,2008,0.732854423517253,1.3744186812496386,13.180358490566038,31295490595.27189,74.2099990844727,0.2724902482,46.491,0.197215115087781,584630004.882813,1.15016061409725,0.3243976405070233,22260,26.45,1394.17,318000,322460,19605568,1.1353917417745816
Cote d'Ivoire,29,2009,0.7266983600988,1.1733907283957785,12.825367924528303,32423167757.12779,73.5680999755859,0.2724902482,46.91,0.202773808739332,2403010009.76563,1.09100164668816,0.2956257312437064,20370,26.84,1409.43,318000,322460,20059147,1.0154968204779595
Cote d'Ivoire,29,2010,0.720375986080842,1.0260624708188033,12.470377358490566,34643522302.33774,75.3377990722656,0.2580388226,47.33,0.185606411087543,845309997.558594,1.13924227820492,0.3029278217483085,19320,27.12,1632.52,318000,322460,20532944,0.9409269318613054
Cote d'Ivoire,29,2011,0.709446928342478,0.8229542318593688,12.115389937106919,32783010214.67286,78.9539031982422,0.2580388226,47.751,0.18641238227378,1437709960.9375,1.15776951632524,0.2848494520713929,18210,26.79,1384.69,318000,322460,21028652,0.8659613559632828
Cote d'Ivoire,29,2012,0.709366666233767,0.9097370411975402,11.760402515723271,35281210581.22616,74.7774963378906,0.2580388226,48.172,0.199990243688931,2908350097.65625,1.23783848955304,0.3661730709362168,19130,26.52,1275.89,318000,322460,21547188,0.8878188652737424
Cote d'Ivoire,29,2013,0.70300531921609,0.9532035960187653,11.405415094339624,39077544035.231384,72.4468002319336,0.2580388226,48.593,0.213225083857362,1273459960.9375,1.25721518542578,0.3830219672605861,20460,26.76,1214.85,318000,322460,22087506,0.9263155378429778
Cote d'Ivoire,29,2014,0.696648051179036,0.8995288658929043,11.050427672955975,42739891439.62189,72.1634979248047,0.2580388226,49.014,0.252299761393296,925039978.027344,1.19717807223041,0.3956256519433874,20410,26.8,1501.36,318000,322460,22647672,0.9011963790362206
Cote d'Ivoire,29,2015,0.697614106777249,1.0791501966776946,10.695440251572327,45814637971.47452,64.8336029052734,0.243587397,49.444,0.272516928619734,651669982.910156,1.29529764059295,0.4116050582300604,21460,26.99,1140.18,318000,322460,23226148,0.9239586348971857
Cote d'Ivoire,29,2016,0.694491824235644,1.2047967187565927,10.340440251572327,49103766045.22543,64.2783966064453,0.243587397,49.881,0.289536439820545,615789978.027344,1.29433704505842,0.3912230699375042,22730,27.26,1278.31,318000,322460,23822726,0.9541309420256943
Cote d'Ivoire,29,2017,0.688744489769821,1.8899976720124445,9.985440251572328,52717625513.83879,62.6884994506836,0.243587397,50.326,0.285744008188353,829159973.144531,1.36567474481076,0.4247574677825757,23120,27.13,1190.21,318000,322460,24437475,0.9460879243866234
Cote d'Ivoire,29,2018,0.682127620340054,1.069324208318731,9.630440251572328,56350019798.32268,63.532600402832,0.243587397,50.779,0.294940347275564,960010009.765625,1.39638284371307,0.3953053835806498,22900,26.98,1501.52,318000,322460,25069226,0.9134705634709265
Cote d'Ivoire,29,2019,0.682127620340054,1.4501016032561618,9.275471698113208,59861589342.700775,63.039122028000065,0.243587397,51.239,0.302745790059985,1201229980.46875,1.4067102904393836,0.402510775857861,22510.434782608696,26.78,1472.48,318000,322460,25716554,0.8753285833945207
Cote d'Ivoire,29,2020,0.680729168463801,0.8289206154957176,8.920471698113207,61033878289.113716,62.56074781606083,0.24639396641666667,51.706,0.30248318799089585,1200762898.7630208,1.4227066340819094,0.4085080589471853,22116.10586011342,27.13,1368.42,318000,322460,26378275,0.8384212333866949
Costa Rica,30,1995,0.491298441567038,2.90967964186728,56.449471210340775,24537079084.497322,34.9735667623955,0.164864862,54.561,0.392107303635401,46090000.1525879,2.52562957953225,1.3566400904351514,10240,24.87,3378.06,51060,51100,3545524,2.888148550115582
Costa Rica,30,1996,0.474895630378039,3.655886971147545,56.3511946729338,24868442409.72885,36.6542171344287,0.1626446036,55.467,0.390856760994818,-209999.993443489,3.15356561009956,1.2471227391770807,10200,24.36,3514.4,51060,51100,3632361,2.8080909358954136
